07:43,17:04,1,2019-01-01,9419,18:34,null
07:43,17:05,2,2019-01-02,9419,18:53,07:53
07:43,17:06,3,2019-01-03,9419,18:40,07:58
07:43,17:07,4,2019-01-04,9419,18:37,00:01
07:43,17:07,5,2019-01-05,9419,18:40,00:21
07:43,17:08,6,2019-01-06,9419,17:05,01:09
07:43,17:09,0,2019-01-07,9419,18:42,07:49
07:43,17:10,1,2019-01-08,9419,18:53,07:57
07:43,17:11,2,2019-01-09,9419,18:30,null
07:43,17:12,3,2019-01-10,9419,18:36,07:58
07:42,17:13,4,2019-01-11,9419,18:28,07:48
07:42,17:14,5,2019-01-12,9419,21:20,07:51
07:42,17:16,6,2019-01-13,9419,21:35,07:51
07:42,17:17,0,2019-01-14,9419,18:48,07:51
07:41,17:18,1,2019-01-15,9419,18:47,07:50
07:41,17:19,2,2019-01-16,9419,19:08,07:55
07:40,17:20,3,2019-01-17,9419,18:30,07:50
07:40,17:21,4,2019-01-18,9419,19:03,07:52
07:39,17:22,5,2019-01-19,9419,19:40,07:39
07:39,17:23,6,2019-01-20,9419,17:04,07:47
07:38,17:25,0,2019-01-21,9419,19:44,07:54
07:37,17:26,1,2019-01-22,9419,19:22,07:47
07:37,17:27,2,2019-01-23,9419,19:13,07:50
07:36,17:28,3,2019-01-24,9419,19:02,07:49
07:35,17:29,4,2019-01-25,9419,18:04,07:47
07:35,17:31,5,2019-01-26,9419,18:55,07:42
07:34,17:32,6,2019-01-27,9419,20:10,07:39
07:33,17:33,0,2019-01-28,9419,18:55,07:50
07:32,17:34,1,2019-01-29,9419,18:51,07:44
07:31,17:35,2,2019-01-30,9419,18:37,07:43
07:30,17:37,3,2019-01-31,9419,18:56,07:52
07:29,17:38,4,2019-02-01,9419,18:43,07:41
07:28,17:39,5,2019-02-02,9419,19:55,07:41
07:28,17:40,6,2019-02-03,9419,20:56,07:33
07:26,17:42,0,2019-02-04,9419,18:34,07:38
07:25,17:43,1,2019-02-05,9419,18:56,07:39
07:24,17:44,2,2019-02-06,9419,18:09,07:44
07:23,17:45,3,2019-02-07,9419,18:25,07:21
07:22,17:46,4,2019-02-08,9419,19:39,07:36
07:21,17:48,5,2019-02-09,9419,18:25,07:45
07:20,17:49,6,2019-02-10,9419,21:04,07:25
07:19,17:50,0,2019-02-11,9419,19:19,07:27
07:17,17:51,1,2019-02-12,9419,18:51,07:34
07:16,17:53,2,2019-02-13,9419,19:28,07:25
07:15,17:54,3,2019-02-14,9419,18:53,07:24
07:14,17:55,4,2019-02-15,9419,19:13,07:24
07:12,17:56,5,2019-02-16,9419,17:48,07:22
07:11,17:57,6,2019-02-17,9419,21:20,07:33
07:10,17:58,0,2019-02-18,9419,19:10,07:31
07:08,18:00,1,2019-02-19,9419,18:15,07:11
07:07,18:01,2,2019-02-20,9419,19:42,07:13
07:06,18:02,3,2019-02-21,9419,19:06,07:19
07:04,18:03,4,2019-02-22,9419,18:47,07:13
07:03,18:04,5,2019-02-23,9419,22:05,00:24
07:01,18:05,6,2019-02-24,9419,22:31,07:11
07:00,18:07,0,2019-02-25,9419,19:29,07:08
06:58,18:08,1,2019-02-26,9419,19:28,07:06
06:57,18:09,2,2019-02-27,9419,19:08,null
06:55,18:10,3,2019-02-28,9419,18:58,07:02
