2018-10-02,06:16,18:02
2018-10-03,06:17,18:00
2018-10-04,06:18,17:59
2018-10-05,06:19,17:57
2018-10-06,06:20,17:55
2018-10-07,06:21,17:54
2018-10-08,06:22,17:52
2018-10-09,06:23,17:51
2018-10-10,06:24,17:49
2018-10-11,06:26,17:48
2018-10-12,06:27,17:46
2018-10-13,06:28,17:44
2018-10-14,06:29,17:43
2018-10-15,06:30,17:41
2018-10-16,06:31,17:40
2018-10-17,06:32,17:38
2018-10-18,06:33,17:37
2018-10-19,06:34,17:35
2018-10-20,06:35,17:34
2018-10-21,06:36,17:32
2018-10-22,06:37,17:31
2018-10-23,06:38,17:30
2018-10-24,06:40,17:28
2018-10-25,06:41,17:27
2018-10-26,06:42,17:26
2018-10-27,06:43,17:24
2018-10-28,06:44,17:23
2018-10-29,06:45,17:22
2018-10-30,06:46,17:20
2018-10-31,06:47,17:19
2018-11-01,06:49,17:18
2018-11-02,06:50,17:17
2018-11-03,06:51,17:15
2018-11-04,06:52,17:14
2018-11-04,06:53,17:13
2018-11-05,06:54,17:12
2018-11-06,06:56,17:11
2018-11-07,06:57,17:10
2018-11-08,06:58,17:09
2018-11-09,06:59,17:08
2018-11-10,07:00,17:07
2018-11-11,07:01,17:06
2018-11-12,07:03,17:05
2018-11-13,07:04,17:04
2018-11-14,07:05,17:03
2018-11-15,07:06,17:03
2018-11-16,07:07,17:02
2018-11-17,07:08,17:01
2018-11-18,07:10,17:00
2018-11-19,07:11,17:00
2018-11-20,07:12,16:59
2018-11-21,07:13,16:58
2018-11-22,07:14,16:58
2018-11-23,07:15,16:57
2018-11-24,07:16,16:57
2018-11-25,07:17,16:56
2018-11-26,07:18,16:56
2018-11-27,07:20,16:55
2018-11-28,07:21,16:55
2018-11-29,07:22,16:55
2018-11-30,07:23,16:54
2018-12-01,07:24,16:54
2018-12-02,07:25,16:54
2018-12-03,07:26,16:54
2018-12-04,07:27,16:53
2018-12-05,07:28,16:53
2018-12-06,07:29,16:53
2018-12-07,07:30,16:53
2018-12-08,07:30,16:53
2018-12-09,07:31,16:53
2018-12-10,07:32,16:53
2018-12-11,07:33,16:53
2018-12-12,07:34,16:54
2018-12-13,07:34,16:54
2018-12-14,07:35,16:54
2018-12-15,07:36,16:54
2018-12-16,07:37,16:55
2018-12-17,07:37,16:55
2018-12-18,07:38,16:55
2018-12-19,07:38,16:56
2018-12-20,07:39,16:56
2018-12-21,07:40,16:57
2018-12-22,07:40,16:57
2018-12-23,07:41,16:58
2018-12-24,07:41,16:58
2018-12-25,07:41,16:59
2018-12-26,07:42,16:59
2018-12-27,07:42,17:00
2018-12-28,07:42,17:01
2018-12-29,07:43,17:02
2018-12-30,07:43,17:02
2018-12-31,07:43,17:03
2019-01-01,07:43,17:04
2019-01-02,07:43,17:05
2019-01-03,07:43,17:06
2019-01-04,07:43,17:07
2019-01-05,07:43,17:07
2019-01-06,07:43,17:08
2019-01-07,07:43,17:09
2019-01-08,07:43,17:10
2019-01-09,07:43,17:11
2019-01-10,07:43,17:12
2019-01-11,07:42,17:13
2019-01-12,07:42,17:14
2019-01-13,07:42,17:16
2019-01-14,07:42,17:17
2019-01-15,07:41,17:18
2019-01-16,07:41,17:19
2019-01-17,07:40,17:20
2019-01-18,07:40,17:21
2019-01-19,07:39,17:22
2019-01-20,07:39,17:23
2019-01-21,07:38,17:25
2019-01-22,07:37,17:26
2019-01-23,07:37,17:27
2019-01-24,07:36,17:28
2019-01-25,07:35,17:29
2019-01-26,07:35,17:31
2019-01-27,07:34,17:32
2019-01-28,07:33,17:33
2019-01-29,07:32,17:34
2019-01-30,07:31,17:35
2019-01-31,07:30,17:37
2019-02-01,07:29,17:38
2019-02-02,07:28,17:39
2019-02-03,07:28,17:40
2019-02-04,07:26,17:42
2019-02-05,07:25,17:43
2019-02-06,07:24,17:44
2019-02-07,07:23,17:45
2019-02-08,07:22,17:46
2019-02-09,07:21,17:48
2019-02-10,07:20,17:49
2019-02-11,07:19,17:50
2019-02-12,07:17,17:51
2019-02-13,07:16,17:53
2019-02-14,07:15,17:54
2019-02-15,07:14,17:55
2019-02-16,07:12,17:56
2019-02-17,07:11,17:57
2019-02-18,07:10,17:58
2019-02-19,07:08,18:00
2019-02-20,07:07,18:01
2019-02-21,07:06,18:02
2019-02-22,07:04,18:03
2019-02-23,07:03,18:04
2019-02-24,07:01,18:05
2019-02-25,07:00,18:07
2019-02-26,06:58,18:08
2019-02-27,06:57,18:09
2019-02-28,06:55,18:10
2019-03-01,06:54,18:11
